"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 24, 1999","208.75","208.25","212.50","207.75","69.89K","0.24%"
"Sep 23, 1999","208.25","210.00","210.50","208.00","43.16K","-0.95%"
"Sep 22, 1999","210.25","210.50","211.75","210.00","20.21K","4.60%"
"Sep 21, 1999","201.00","201.50","202.25","201.00","0.59K","-1.23%"
"Sep 20, 1999","203.50","198.50","204.00","197.00","2.23K","2.78%"
"Sep 17, 1999","198.00","201.25","201.25","197.50","1.88K","-1.00%"
"Sep 16, 1999","200.00","200.00","201.00","197.75","1.57K","0.38%"
"Sep 15, 1999","199.25","201.00","201.50","199.00","4.58K","-1.36%"
"Sep 14, 1999","202.00","203.00","203.00","201.00","5.39K","-0.37%"
"Sep 13, 1999","202.75","204.50","205.00","202.25","6.98K","-0.86%"
"Sep 10, 1999","204.50","206.00","206.00","203.25","6.60K","-0.73%"
"Sep 09, 1999","206.00","207.75","208.00","205.75","5.89K","-0.84%"
"Sep 08, 1999","207.75","210.75","210.75","207.50","7.94K","-1.66%"
"Sep 07, 1999","211.25","208.75","212.50","208.75","7.52K","1.08%"
"Sep 03, 1999","209.00","209.50","210.75","208.50","7.11K","0.12%"
"Sep 02, 1999","208.75","207.50","209.00","206.50","8.97K","0.60%"
"Sep 01, 1999","207.50","204.50","207.75","204.50","14.20K","1.10%"
"Aug 31, 1999","205.25","203.00","206.50","203.00","25.70K","1.11%"
"Aug 30, 1999","203.00","201.50","204.75","201.25","37.18K","0.62%"
"Aug 27, 1999","201.75","202.50","203.75","201.50","22.16K","-0.49%"
"Aug 26, 1999","202.75","206.00","206.25","202.50","20.11K","-1.70%"
"Aug 25, 1999","206.25","203.00","206.50","202.75","19.04K","1.35%"
"Aug 24, 1999","203.50","208.00","208.50","203.25","16.69K","-1.57%"
"Aug 23, 1999","206.75","208.50","208.50","205.00","19.86K","-1.43%"
"Aug 20, 1999","209.75","213.50","214.00","209.50","14.79K","-1.99%"
"Aug 19, 1999","214.00","215.00","218.00","212.50","15.27K","-0.47%"
"Aug 18, 1999","215.00","216.00","216.75","213.00","15.69K","-0.69%"
"Aug 17, 1999","216.50","215.50","219.75","215.50","18.01K","1.17%"
"Aug 16, 1999","214.00","209.50","214.50","209.50","15.24K","2.15%"
"Aug 13, 1999","209.50","207.25","209.75","206.75","18.23K","-0.36%"
"Aug 12, 1999","210.25","222.00","222.75","210.25","22.02K","-5.40%"
"Aug 11, 1999","222.25","227.75","227.75","222.00","21.48K","-2.63%"
"Aug 10, 1999","228.25","226.50","230.00","225.00","22.58K","2.13%"
"Aug 09, 1999","223.50","223.00","225.25","219.75","16.09K","0.00%"
"Aug 06, 1999","223.50","222.25","224.50","219.25","21.79K","0.11%"
"Aug 05, 1999","223.25","222.00","225.00","219.50","23.95K","-0.78%"
"Aug 04, 1999","225.00","219.00","225.50","215.50","26.51K","2.51%"
"Aug 03, 1999","219.50","218.00","233.25","217.50","47.64K","1.97%"
"Aug 02, 1999","215.25","205.00","215.25","204.00","26.43K","5.90%"
"Jul 30, 1999","203.25","199.50","203.50","199.00","20.09K","1.75%"
"Jul 29, 1999","199.75","194.50","200.00","194.00","12.66K","1.91%"
"Jul 28, 1999","196.00","197.00","200.75","195.25","17.57K","-0.25%"
"Jul 27, 1999","196.50","203.50","205.00","196.00","21.18K","-4.03%"
"Jul 26, 1999","204.75","212.50","213.50","202.00","22.36K","-3.42%"
"Jul 23, 1999","212.00","204.00","216.00","204.00","35.16K","3.67%"
"Jul 22, 1999","204.50","203.50","210.00","202.00","27.09K","4.47%"
"Jul 21, 1999","195.75","193.00","196.50","193.00","0.50K","3.43%"
"Jul 20, 1999","189.25","184.00","190.00","184.00","0.35K","2.44%"
"Jul 19, 1999","184.75","185.00","186.50","183.75","0.32K","2.64%"
"Jul 16, 1999","180.00","186.25","186.75","180.00","1.32K","-3.49%"
"Jul 15, 1999","186.50","182.50","188.25","182.50","1.91K","1.50%"
"Jul 14, 1999","183.75","180.50","184.50","180.25","4.16K","2.94%"
"Jul 13, 1999","178.50","179.00","180.00","178.25","2.90K","-0.83%"
"Jul 12, 1999","180.00","181.00","182.50","177.00","2.74K","0.56%"
"Jul 09, 1999","179.00","182.00","182.50","178.25","2.76K","-1.92%"
"Jul 08, 1999","182.50","188.00","189.00","182.25","4.44K","-2.54%"
"Jul 07, 1999","187.25","187.75","188.50","184.75","6.21K","-0.27%"
"Jul 06, 1999","187.75","195.00","195.00","184.50","9.40K","-4.45%"
"Jul 02, 1999","196.50","204.00","205.50","196.00","7.63K","-3.44%"
"Jul 01, 1999","203.50","212.75","213.75","203.25","14.76K","-3.67%"
"Jun 30, 1999","211.25","210.25","212.50","209.50","20.54K","0.48%"
"Jun 29, 1999","210.25","211.00","214.50","210.00","49.95K","-0.36%"
"Jun 28, 1999","211.00","213.50","214.00","210.75","33.50K","-1.52%"
"Jun 25, 1999","214.25","214.50","215.75","213.75","23.86K","-0.12%"
"Jun 24, 1999","214.50","217.50","218.00","213.50","47.02K","-1.38%"
"Jun 23, 1999","217.50","216.25","218.50","215.50","26.32K","0.58%"
"Jun 22, 1999","216.25","218.50","219.75","216.00","22.50K","-1.37%"
"Jun 21, 1999","219.25","220.50","223.75","217.50","38.56K","-0.68%"
"Jun 18, 1999","220.75","217.00","222.00","216.75","35.82K","1.61%"
"Jun 17, 1999","217.25","217.00","220.00","216.25","36.27K","-0.11%"
"Jun 16, 1999","217.50","214.25","218.00","214.00","45.13K","1.52%"
"Jun 15, 1999","214.25","218.00","217.25","214.00","39.32K","-1.83%"
"Jun 14, 1999","218.25","216.25","218.75","214.50","33.15K","0.46%"
"Jun 11, 1999","217.25","219.75","220.50","216.25","35.32K","-1.36%"
"Jun 10, 1999","220.25","220.50","221.25","219.50","26.55K","-0.23%"
"Jun 09, 1999","220.75","222.75","223.00","220.00","28.89K","-1.01%"
"Jun 08, 1999","223.00","223.25","224.00","219.50","31.83K","0.22%"
"Jun 07, 1999","222.50","221.25","226.50","221.25","45.89K","0.79%"
"Jun 04, 1999","220.75","217.50","223.00","217.25","29.60K","-1.12%"
"Jun 03, 1999","223.25","217.50","224.00","217.25","61.06K","3.00%"
"Jun 02, 1999","216.75","216.50","217.25","214.75","20.73K","0.23%"
"Jun 01, 1999","216.25","215.50","216.50","214.00","27.17K","-1.48%"
"May 28, 1999","219.50","216.75","220.50","216.75","31.82K","1.39%"
"May 27, 1999","216.50","214.75","216.75","214.75","18.27K","0.81%"
"May 26, 1999","214.75","214.50","216.25","213.75","28.34K","0.00%"
"May 25, 1999","214.75","212.00","215.00","212.00","29.97K","1.42%"
"May 24, 1999","211.75","218.25","218.50","211.50","82.45K","-3.09%"
"May 21, 1999","218.50","219.25","219.50","218.25","17.58K","-0.34%"
"May 20, 1999","219.25","219.75","221.50","218.75","18.52K","2.10%"
"May 19, 1999","214.75","218.50","219.50","212.50","0.87K","-1.38%"
"May 18, 1999","217.75","222.00","222.00","217.00","3.46K","-2.13%"
"May 17, 1999","222.50","223.25","223.50","221.75","3.37K","0.56%"
"May 14, 1999","221.25","222.00","224.50","220.50","7.43K","-0.11%"
"May 13, 1999","221.50","221.00","223.50","221.00","4.23K","0.45%"
"May 12, 1999","220.50","219.75","223.25","219.50","3.36K","0.46%"
"May 11, 1999","219.50","217.00","220.00","217.00","2.50K","0.46%"
"May 10, 1999","218.50","216.25","219.00","215.75","3.39K","1.27%"
"May 07, 1999","215.75","216.50","217.25","215.00","6.38K","-0.46%"
"May 06, 1999","216.75","218.50","218.50","216.50","8.01K","-0.80%"
"May 05, 1999","218.50","219.00","219.00","217.25","5.99K","-0.11%"
"May 04, 1999","218.75","216.25","219.75","216.25","6.84K","0.92%"
"May 03, 1999","216.75","214.00","217.00","213.50","11.67K","0.93%"
"Apr 30, 1999","214.75","213.25","215.50","213.25","20.48K","0.70%"
"Apr 29, 1999","213.25","215.25","216.25","213.00","40.22K","-0.70%"
"Apr 28, 1999","214.75","215.50","217.50","213.50","33.29K","-0.23%"
"Apr 27, 1999","215.25","217.00","218.00","215.00","28.12K","-0.46%"
"Apr 26, 1999","216.25","220.25","220.25","216.00","26.10K","-1.82%"
"Apr 23, 1999","220.25","219.50","222.00","219.50","20.85K","0.34%"
"Apr 22, 1999","219.50","223.75","225.00","219.00","19.73K","-2.01%"
"Apr 21, 1999","224.00","224.00","224.25","223.00","20.47K","0.00%"
"Apr 20, 1999","224.00","220.25","224.50","220.25","21.15K","1.59%"
"Apr 19, 1999","220.50","218.00","221.75","217.75","16.89K","1.15%"
"Apr 16, 1999","218.00","219.75","220.50","217.75","14.69K","-0.80%"
"Apr 15, 1999","219.75","217.50","220.00","217.25","16.26K","1.03%"
"Apr 14, 1999","217.50","216.00","220.00","216.00","26.87K","0.69%"
"Apr 13, 1999","216.00","214.50","216.75","214.25","29.18K","0.82%"
"Apr 12, 1999","214.25","217.50","219.00","214.00","41.96K","-1.61%"
"Apr 09, 1999","217.75","216.50","218.00","215.50","22.31K","0.58%"
"Apr 08, 1999","216.50","217.75","218.25","215.75","22.91K","-0.57%"
"Apr 07, 1999","217.75","216.25","218.25","215.50","29.34K","0.69%"
"Apr 06, 1999","216.25","219.00","220.75","215.50","43.06K","-1.14%"
"Apr 05, 1999","218.75","222.00","222.00","218.25","40.58K","-1.46%"
"Apr 01, 1999","222.00","226.00","226.50","221.25","35.04K","-1.55%"
"Mar 31, 1999","225.50","232.00","233.50","225.00","40.27K","-2.80%"
"Mar 30, 1999","232.00","231.75","234.25","230.25","31.76K","0.00%"
"Mar 29, 1999","232.00","231.25","232.25","229.25","23.26K","-0.11%"
"Mar 26, 1999","232.25","230.00","233.00","228.75","31.14K","1.09%"
"Mar 25, 1999","229.75","228.00","231.75","226.25","32.93K","0.77%"
"Mar 24, 1999","228.00","228.50","230.75","227.00","26.61K","-0.22%"
"Mar 23, 1999","228.50","231.75","231.75","228.25","29.84K","-0.11%"
"Mar 22, 1999","228.75","226.00","229.50","224.00","0.66K","1.33%"
"Mar 19, 1999","225.75","218.25","226.00","218.25","2.18K","3.67%"
"Mar 18, 1999","217.75","220.25","220.75","217.50","2.10K","-1.02%"
"Mar 17, 1999","220.00","217.25","221.00","217.25","1.84K","1.27%"
"Mar 16, 1999","217.25","214.75","217.50","213.75","1.77K","1.64%"
"Mar 15, 1999","213.75","215.50","215.50","213.25","2.60K","-0.93%"
"Mar 12, 1999","215.75","217.00","217.75","215.50","2.70K","-0.92%"
"Mar 11, 1999","217.75","217.50","219.50","216.25","4.57K","0.00%"
"Mar 10, 1999","217.75","215.25","218.00","215.25","2.63K","1.16%"
"Mar 09, 1999","215.25","214.00","217.50","213.00","4.31K","0.58%"
"Mar 08, 1999","214.00","209.00","215.00","209.00","4.63K","2.39%"
"Mar 05, 1999","209.00","210.00","210.00","208.50","5.31K","-0.71%"
"Mar 04, 1999","210.50","208.75","212.25","208.75","7.59K","0.72%"
"Mar 03, 1999","209.00","210.00","211.00","208.00","7.62K","-0.59%"
